資料番号	資料名	資料内漢字番号	資料内漢語番号	単字_見出し	単字_出現形	漢語_見出し	漢語_出現形	漢語_alphabet	語種	漢語内位置	単字長	声点	声点型	仮名注	仮名型	反切	類音	節博士	その他	出現位置	備考
20-052-01	四種相違疏本文	1	1	許	許	（兩所共）許	（兩所共）許			4	1	〔朱〕平新濁	＊＊＊平新濁							04-01：001	首欠。前接字は大正新修大蔵経No. 1840因明入正理論疏によって補う。朱双点斜めに配置。
20-052-01	四種相違疏本文	2	2	實	實	實徳業上	實徳業上			1	2	〔朱〕入濁	入濁＊フ入濁平濁							04-01：001	
20-052-01	四種相違疏本文	3	2	徳	徳	實徳業上	實徳業上			2	2	□（入カ）	入濁＊フ入濁平濁							04-01：001	平声位置、入声位置虫損。入声か
20-052-01	四種相違疏本文	4	2	業	業	實徳業上	實徳業上			3	2	〔朱〕フ入濁	入濁＊フ入濁平濁							04-01：001	
20-052-01	四種相違疏本文	5	2	上	上	實徳業上	實徳業上			4	2	〔朱〕平濁	入濁＊フ入濁平濁							04-01：001	
20-052-01	四種相違疏本文	6	3	能	能	能非無性	能非無性			1	2	〔朱〕去	去上上平							04-01：001	
20-052-01	四種相違疏本文	7	3	非	非	能非無性	能非無性			2	1	〔朱〕上	去上上平							04-01：001	
20-052-01	四種相違疏本文	8	3	無	無	能非無性	能非無性			3	1	〔朱〕上	去上上平							04-01：001	
20-052-01	四種相違疏本文	9	3	性	性	能非無性	能非無性			4	2	〔朱〕平	去上上平							04-01：001	
20-052-01	四種相違疏本文	10	4	故	故	故成㪽別	故成㪽別			1	1	〔朱〕平	平去濁平入濁							04-01：001	
20-052-01	四種相違疏本文	11	4	成	成	故成㪽別	故成㪽別			2	2	〔朱〕去濁	平去濁平入濁							04-01：001	
20-052-01	四種相違疏本文	12	4	㪽	㪽	故成㪽別	故成㪽別			3	1	〔朱〕平	平去濁平入濁							04-01：001	
20-052-01	四種相違疏本文	13	4	別	別	故成㪽別	故成㪽別			4	2	〔朱〕入濁	平去濁平入濁							04-01：001	
20-052-01	四種相違疏本文	14	5	若	若	若説大有	若説大有			1	2	〔朱〕入	入入平濁平							04-01：001	
20-052-01	四種相違疏本文	15	5	説	説	若説大有	若説大有			2	2	〔朱〕入	入入平濁平							04-02：002	
20-052-01	四種相違疏本文	16	5	大	大	若説大有	若説大有			3	2	〔朱〕平濁	入入平濁平							04-02：002	
20-052-01	四種相違疏本文	17	5	有	有	若説大有	若説大有			4	1	〔朱〕平	入入平濁平							04-02：002	
20-052-01	四種相違疏本文	18	6	㪽	㪽	㪽別不成	㪽別不成			1	1	〔朱〕平	平入濁上毘濁							04-02：002	
20-052-01	四種相違疏本文	19	6	別	別	㪽別不成	㪽別不成			2	2	〔朱〕入濁	平入濁上毘濁							04-02：002	
20-052-01	四種相違疏本文	20	6	不	不	㪽別不成	㪽別不成			3	1	〔朱〕上	平入濁上毘濁							04-02：002	
20-052-01	四種相違疏本文	21	6	成	成	㪽別不成	㪽別不成			4	2	〔朱〕毘濁	平入濁上毘濁							04-02：002	
20-052-01	四種相違疏本文	22	7	囙	囙	囙犯隨一	囙犯随一			1	2	〔朱〕去	去平濁去濁入							04-02：002	
20-052-01	四種相違疏本文	23	7	犯	犯	囙犯隨一	囙犯随一			2	2	〔朱〕平濁	去平濁去濁入							04-02：002	
20-052-01	四種相違疏本文	24	7	隨	隨	囙犯隨一	囙犯随一			3	2	〔朱〕去濁	去平濁去濁入							04-02：002	
20-052-01	四種相違疏本文	25	7	一	一	囙犯隨一	囙犯随一			4	2	〔朱〕入	去平濁去濁入							04-02：002	
20-052-01	四種相違疏本文	26	8	此	此	此之有性	此之有性			1	1	〔朱〕平	平上平平							04-02：002	
20-052-01	四種相違疏本文	27	8	之	之	此之有性	此之有性			2	1	〔朱〕上	平上平平							04-02：002	
20-052-01	四種相違疏本文	28	8	有	有	此之有性	此之有性			3	1	〔朱〕平	平上平平							04-02：002	
20-052-01	四種相違疏本文	29	8	性	性	此之有性	此之有性			4	2	〔朱〕平	平上平平							04-02：002	
20-052-01	四種相違疏本文	30	9	躰	躰	躰非即實	躰非即實			1	2	〔朱〕平	平上入入濁							04-03：003	
20-052-01	四種相違疏本文	31	9	非	非	躰非即實	躰非即實			2	1	〔朱〕上	平上入入濁							04-03：003	
20-052-01	四種相違疏本文	32	9	即	即	躰非即實	躰非即實			3	2	〔朱〕入	平上入入濁							04-03：003	
20-052-01	四種相違疏本文	33	9	實	實	躰非即實	躰非即實			4	2	〔朱〕入濁	平上入入濁							04-03：003	
20-052-01	四種相違疏本文	34	10	囙	囙	囙云有一實故	囙云有一實故			1	2	〔朱〕去	去毘平入入濁平							04-03：003	
20-052-01	四種相違疏本文	35	10	云	云	囙云有一實故	囙云有一實故			2	2	〔朱〕毘	去毘平入入濁平							04-03：003	
20-052-01	四種相違疏本文	36	10	有	有	囙云有一實故	囙云有一實故			3	1	〔朱〕平	去毘平入入濁平							04-03：003	
20-052-01	四種相違疏本文	37	10	一	一	囙云有一實故	囙云有一實故			4	2	〔朱〕入	去毘平入入濁平							04-03：003	
20-052-01	四種相違疏本文	38	10	實	實	囙云有一實故	囙云有一實故			5	2	〔朱〕入濁	去毘平入入濁平							04-03：003	
20-052-01	四種相違疏本文	39	10	故	故	囙云有一實故	囙云有一實故			6	1	〔朱〕平	去毘平入入濁平							04-03：003	
20-052-01	四種相違疏本文	40	11	勝	勝	勝論六句	勝論六句			1	2	〔朱〕平	平平入平							04-03：003	
20-052-01	四種相違疏本文	41	11	論	論	勝論六句	勝論六句			2	2	〔朱〕平	平平入平							04-03：003	
20-052-01	四種相違疏本文	42	11	六	六	勝論六句	勝論六句			3	2	〔朱〕入	平平入平							04-03：003	
20-052-01	四種相違疏本文	43	11	句	句	勝論六句	勝論六句			4	1	〔朱〕平	平平入平							04-03：003	
20-052-01	四種相違疏本文	44	12	束	束	束爲四類	束為四類			1	2	〔朱〕入	入上平平							04-04：004	
20-052-01	四種相違疏本文	45	12	爲	為	束爲四類	束為四類			2	1	〔朱〕上	入上平平							04-04：004	
20-052-01	四種相違疏本文	46	12	四	四	束爲四類	束為四類			3	1	〔朱〕平	入上平平							04-04：004	
20-052-01	四種相違疏本文	47	12	類	類	束爲四類	束為四類			4	2	〔朱〕平	入上平平							04-04：004	
20-052-01	四種相違疏本文	48	13	一	一	一無實	一無實			1	2	〔朱〕入	入上入濁							04-04：004	
20-052-01	四種相違疏本文	49	13	無	無	一無實	一無實			2	1	〔朱〕上	入上入濁							04-04：004	
20-052-01	四種相違疏本文	50	13	實	實	一無實	一無實			3	2	〔朱〕入濁	入上入濁							04-04：004	
20-052-01	四種相違疏本文	51	14	二	二	二有一實	二有一實			1	1	〔朱〕平	平平入入濁							04-04：004	
20-052-01	四種相違疏本文	52	14	有	有	二有一實	二有一實			2	1	〔朱〕平	平平入入濁							04-04：004	
20-052-01	四種相違疏本文	53	14	一	一	二有一實	二有一實			3	2	〔朱〕入	平平入入濁							04-04：004	
20-052-01	四種相違疏本文	54	14	實	實	二有一實	二有一實			4	2	〔朱〕入濁	平平入入濁							04-04：004	
20-052-01	四種相違疏本文	55	15	三	三	三有二實	三有二實			1	2	〔朱〕去	去平平入濁							04-04：004	
20-052-01	四種相違疏本文	56	15	有	有	三有二實	三有二實			2	1	〔朱〕平	去平平入濁							04-04：004	
20-052-01	四種相違疏本文	57	15	二	二	三有二實	三有二實			3	1	〔朱〕平	去平平入濁							04-04：004	
20-052-01	四種相違疏本文	58	15	實	實	三有二實	三有二實			4	2	〔朱〕入濁	去平平入濁							04-04：004	
20-052-01	四種相違疏本文	59	16	四	四	四有多實	四有多實			1	1	〔朱〕平	平平上入濁							04-05：005	
20-052-01	四種相違疏本文	60	16	有	有	四有多實	四有多實			2	1	〔朱〕平	平平上入濁							04-05：005	
20-052-01	四種相違疏本文	61	16	多	多	四有多實	四有多實			3	1	〔朱〕上	平平上入濁							04-05：005	
20-052-01	四種相違疏本文	62	16	實	實	四有多實	四有多實			4	2	〔朱〕入濁	平平上入濁							04-05：005	
20-052-01	四種相違疏本文	63	17	水	水	地水火風	地水火風			2	2	〔朱〕平	＊平平去							04-05：005	
20-052-01	四種相違疏本文	64	17	火	火	地水火風	地水火風			3	1	〔朱〕平	＊平平去							04-05：005	
20-052-01	四種相違疏本文	65	17	風	風	地水火風	地水火風			4	2	〔朱〕去	＊平平去							04-05：005	声点は圏点に見えるが、声点と区別はないか
20-052-01	四種相違疏本文	66	18	父	父	父母常極微	父母常極微			1	1	〔朱〕平濁	平濁平去濁入濁上	フ	フモ＊＊＊					04-05：005	仮名は■（判読不明）に上書き
20-052-01	四種相違疏本文	67	18	母	母	父母常極微	父母常極微			2	1	〔朱〕平	平濁平去濁入濁上	モ	フモ＊＊＊					04-05：005	
20-052-01	四種相違疏本文	68	18	常	常	父母常極微	父母常極微			3	2	〔朱〕去濁	平濁平去濁入濁上		フモ＊＊＊					04-05：005	
20-052-01	四種相違疏本文	69	18	極	極	父母常極微	父母常極微			4	2	〔朱〕入濁	平濁平去濁入濁上		フモ＊＊＊					04-05：005	
20-052-01	四種相違疏本文	70	18	微	微	父母常極微	父母常極微			5	1	〔朱〕上	平濁平去濁入濁上		フモ＊＊＊					04-05：005	
20-052-01	四種相違疏本文	71	19	空	空	空時方我意	空時方我意			1	2	〔朱〕去	去上濁去平濁平							04-05：005	
20-052-01	四種相違疏本文	72	19	時	時	空時方我意	空時方我意			2	1	〔朱〕上濁	去上濁去平濁平							04-06：006	
20-052-01	四種相違疏本文	73	19	方	方	空時方我意	空時方我意			3	2	〔朱〕去	去上濁去平濁平							04-06：006	
20-052-01	四種相違疏本文	74	19	我	我	空時方我意	空時方我意			4	1	〔朱〕平濁	去上濁去平濁平							04-06：006	
20-052-01	四種相違疏本文	75	19	意	意	空時方我意	空時方我意			5	1	〔朱〕平	去上濁去平濁平							04-06：006	
20-052-01	四種相違疏本文	76	20	并	并	并徳業和合	并徳業和合			1	2	〔朱〕去濁	去濁入フ入濁上フ入濁							04-06：006	
20-052-01	四種相違疏本文	77	20	徳	徳	并徳業和合	并徳業和合			2	2	〔朱〕入	去濁入フ入濁上フ入濁							04-06：006	
20-052-01	四種相違疏本文	78	20	業	業	并徳業和合	并徳業和合			3	2	〔朱〕フ入濁	去濁入フ入濁上フ入濁							04-06：006	
20-052-01	四種相違疏本文	79	20	和	和	并徳業和合	并徳業和合			4	2	〔朱〕上	去濁入フ入濁上フ入濁							04-06：006	
20-052-01	四種相違疏本文	80	20	合	合	并徳業和合	并徳業和合			5	2	〔朱〕フ入濁	去濁入フ入濁上フ入濁							04-06：006	
